Country,object
Australia,Jindalee Resources Limited -JRL.AX
India,Jaiprakash Power Ventures Limited -JPPOWER.NS
India,Jindal Poly Investment and Finance Company Limited -JPOLYINVST.NS
Mexico,JPMorgan Chase & Co. -JPM.MX
Mexico,Johnson & Johnson -JNJ.MX
India,JK Paper Limited -JKPAPER.NS
Australia,JustKapital Limited -JKL.AX
India,Jain Irrigation Systems Limited -JISLDVREQS.NS
India,Jindal Cotex Limited -JINDCOT.NS
India,Jindal Saw Limited -JINDALSAW.NS
Australia,Jumbo Interactive Limited -JIN.AX
Australia,James Hardie Industries plc -JHX.AX
Mexico,"J. C. Penney Company, Inc. -JCP.MX"
India,JBF Industries Limited -JBFIND.NS
Australia,Jatenergy Limited -JAT.AX
India,Jaihind Projects Limited -JAIHINDPRO.NS
India,Jagran Prakashan Limited -JAGRAN.NS
Mexico,Glencore Plc -GLENN.MX
Germany,JDC Group AG -A8A.DE
Taiwan,"Jentech Precision Industrial Co., Ltd. -3653.TW"
India,Jamna Auto Industries Limited -JAMNAAUTO.NS
India,Jai Corp Limited -JAICORPLTD.NS
Germany,JENOPTIK AG O.N. -JEN.HA
India,Jullundur Motor Agency (Delhi) Limited -JMA.NS
Germany,"SHIRE PLC LS-,05 -S7E.DU"
India,J. Kumar Infraprojects Limited -JKIL.NS
Germany,JUNGHEINRICH AG O.N.VZO -JUN3.HA
India,The Jammu and Kashmir Bank Limited -J&KBANK.NS
Taiwan,Ju Teng International Holdings Limited -9136.TW
USA,Texas Jack Oil & Gas Corporation -TXJK
India,PC Jeweller Limited -PCJEWELLER.NS
India,Tara Jewels Limited -TARAJEWELS.NS
India,JSW Energy Limited -JSWENERGY.NS
Germany,Shire plc -S7E.DE
Germany,TOSHIBA CORP. Registered Shares -TSE1.SG
India,J.K. Cement Limited -JKCEMENT.NS
India,Jindal Photo Limited -JINDALPHOT.NS
Mexico,"JD.com, Inc. -JDN.MX"
Australia,Astro Japan Property Group -AJA.AX
India,Jayant Agro-Organics Limited -JAYAGROGN.NS
Germany,JOH. FRIEDRICH BEHRENS AG Inhab -JFB.SG
Germany,TOYOTA MOTOR CORP. -TOM.BE
India,Jai Balaji Industries Limited -JAIBALAJI.NS
India,Jindal Worldwide Limited -JINDWORLD.NS
Germany,JPMorgan Chase & Co. Registered -CMC.SG
India,JSW Holdings Limited -JSWHL.NS
Germany,JINKOSOLAR ADR/4 DL-00002 -ZJS1.HA
USA,KeyCorp -KEY
USA,Koninklijke Philips N.V. -PHG
USA,KNOT Offshore Partners LP -KNOP
USA,Kennametal Inc. -KMT
USA,K12 Inc. -LRN
USA,Kraton Corporation -KRA
USA,Quaker Chemical Corporation -KWR
USA,Kubota Corporation -KUBTY
USA,Cadus Corporation -KDUS
USA,KonaRed Corporation -KRED
Taiwan,"TPK Holding Co., Ltd. -3673.TW"
USA,Kubota Corporation -KUBTF
Australia,Kingston Resources Limited -KSN.AX
Australia,K&S Corporation Limited -KSC.AX
India,K.P.R. Mill Limited -KPRMILL.NS
Australia,Kina Petroleum Limited -KPL.AX
India,KPIT Technologies Limited -KPIT.NS
India,Kotak Mahindra Bank Limited -KOTAKBANK.NS
Australia,Korab Resources Limited -KOR.AX
USA,"Killbuck Bancshares, Inc. -KLIB"
Australia,King Island Scheelite Limited -KIS.AX
Australia,Kabuni Limited -KBU.AX
USA,Kingsmen Resources Ltd. -TUMIF
Mexico,SINA Corporation -SINAN.MX
India,Kesar Terminals & Infrastructure Limited -KTIL.NS
USA,Katahdin Bankshares Corp. -KTHN
Australia,Kina Securities Limited -KSL.AX
India,KSK Energy Ventures Limited -KSK.NS
India,KSS Limited -KSERASERA.NS
India,Kaveri Seed Company Limited -KSCL.NS
Australia,Kangaroo Resources Limited -KRL.AX
Germany,KON. KPN NV EO-04 -KPN.DU
India,Kothari Products Limited -KOTHARIPRO.NS
India,Kothari Sugars and Chemicals Limited -KOTARISUG.NS
India,Kopran Limited -KOPRAN.NS
Mexico,The Coca-Cola Company -KO.MX
India,KNR Constructions Limited -KNRCON.NS
Australia,Kneomedia Limited -KNM.AX
Australia,Kibaran Resources Limited -KNL.AX
Germany,KUEHNE + NAGEL INTL SF 1 -KNIA.DU
Germany,Kuehne + Nagel International AG -KNIA.DE
Australia,Kinetiko Energy Limited -KKO.AX
India,Kitex Garments Limited -KITEX.NS
India,Kirloskar Oil Engines Limited -KIRLOSENG.NS
India,Karuturi Global Limited -KGL.NS
Australia,Kogi Iron Limited -KFE.AX
India,KEC International Limited -KEC.NS
Australia,Kidman Resources Limited -KDR.AX
India,K.C.P. Sugar and Industries Corporation Limited -KCPSUGIND.NS
Australia,Kingsgate Consolidated Limited -KCN.AX
Australia,Katana Capital Limited -KAT.AX
Australia,Karoon Gas Australia Ltd -KAR.AX
USA,Kunekt Corporation -KNKT
Germany,Fresenius Medical Care AG & Co. KGAA -FMEA.DE
India,Everest Kanto Cylinder Limited -EKC.NS
Taiwan,Kian Shen Corporation -1525.TW
Germany,Klassik Radio AG -KA8.DE
Germany,K+S AG NA O.N. -SDF.BE
India,Kalyani Steels Limited -KSL.NS
India,Kansai Nerolac Paints Limited -KANSAINER.NS
Mexico,"Grupo Kuo, S.A.B. de C.V. -KUOA.MX"
USA,Schlumberger Limited -SLB
USA,Transocean Ltd. -RIG
USA,SeaDrill Limited -SDRL
USA,Tata Motors Limited -TTM
USA,"Magellan Midstream Partners, L.P. -MMP"
USA,RLJ Lodging Trust -RLJ
USA,Williams Partners L.P. -WPZ
USA,Tronox Limited -TROX
USA,ReneSola Ltd -SOL
USA,Sunoco LP -SUN
USA,StoneMor Partners L.P. -STON
USA,"Suburban Propane Partners, L.P. -SPH"
USA,Teekay Offshore Partners L.P. -TOO
USA,Teekay Tankers Ltd. -TNK
USA,Teekay LNG Partners L.P. -TGP
USA,"Summit Midstream Partners, LP -SMLP"
USA,Seadrill Partners LLC -SDLP
USA,Navios Maritime Partners L.P. -NMM
USA,MPLX LP -MPLX
USA,Wipro Limited -WIT
USA,Sasol Limited -SSL
USA,Lexington Realty Trust -LXP
USA,Texas Pacific Land Trust -TPL
USA,Transmontaigne Partners L.P. -TLP
USA,Sprague Resources LP -SRLP
USA,Natural Resource Partners L.P. -NRP
USA,WNS (Holdings) Limited -WNS
USA,Phillips 66 Partners LP -PSXP
USA,Liberty Property Trust -LPT
USA,Lazard Ltd -LAZ
USA,Travelport Worldwide Limited -TVPT
USA,Third Point Reinsurance Ltd. -TPRE
USA,MiX Telematics Limited -MIXT
USA,"TC PipeLines, LP -TCP"
USA,500.com Limited -WBAI
USA,"Shell Midstream Partners, L.P. -SHLX"
USA,Zhaopin Limited -ZPIN
USA,Rice Midstream Partners LP -RMP
USA,"Luby's, Inc. -LUB"
USA,Taro Pharmaceutical Industries Ltd. -TARO
USA,RiT Technologies Ltd. -RITT
USA,"Westmoreland Resource Partners, LP -WMLP"
USA,"Learning Tree International, Inc. -LTRE"
USA,"Western Refining Logistics, LP -WNRL"
USA,Navios Maritime Midstream Partners L.P. -NAP
USA,CrossAmerica Partners LP -CAPL
USA,LifeLogger Technologies Corp. -LOGG
USA,USD Partners LP -USDP
USA,PBF Logistics LP -PBFX
USA,Creative Learning Corporation -CLCN
USA,OCI Partners LP -OCIP
USA,Liquidmetal Technologies Inc. -LQMT
USA,"Lihua International, Inc. -LIWA"
USA,"LaPolla Industries, Inc. -LPAD"
USA,Lescarden Inc. -LCAR
USA,"International Monetary Systems, Ltd. -ITNM"
USA,SMG Indium Resources Ltd. -SMGI
USA,Scientific Learning Corporation -SCIL
India,MRF Limited -MRF.NS
USA,Lattice Incorporated -LTTC
USA,"Lifeloc Technologies, Inc. -LCTC"
India,Tata Steel Limited -TATASTEEL.NS
India,Reliance Industries Limited -RELIANCE.NS
Australia,Oil Search Limited -OSH.AX
India,NOCIL Limited -NOCIL.NS
USA,Littlefield Corporation -LTFD
USA,"Lifestyle Medical Network, Inc. -LMNK"
India,Indo Count Industries Limited -ICIL.NS
USA,"Tongxin International, Ltd. -TXIC"
India,Tata Consultancy Services Limited -TCS.NS
India,Surana Industries Limited -SURANAIND.NS
India,Sasken Technologies Limited -SASKEN.NS
India,Reliance Infrastructure Limited -RELINFRA.NS
USA,"RBC Life Sciences, Inc. -RBCL"
India,Praj Industries Limited -PRAJIND.NS
USA,Pekin Life Insurance Company -PKIN
USA,Pacifichealth Laboratories Inc. -PHLI
India,Nicco Corporation Limited -NICCO.NS
USA,"The Mint Leasing, Inc. -MLES"
India,Maruti Suzuki India Limited -MARUTI.NS
USA,"Lightwave Logic, Inc. -LWLG"
India,Lupin Limited -LUPIN.NS
India,Cairn India Limited -CAIRN.NS
India,Zenith Birla (India) Limited -ZENITHBIR.NS
India,Yes Bank Limited -YESBANK.NS
India,Xpro India Limited -XPROINDIA.NS
Australia,West Wits Mining Limited -WWI.AX
Australia,Wolf Petroleum Limited -WOF.AX
Australia,White Cliff Minerals Limited -WCN.AX
Australia,Vita Life Sciences Limited -VSC.AX
India,Voltas Limited -VOLTAS.NS
Australia,Vital Metals Limited -VML.AX
India,Visaka Industries Limited -VISAKAIND.NS
India,Usher Agro Limited -USHERAGRO.NS
India,UFO Moviez India Limited -UFO.NS
India,Uflex Limited -UFLEX.NS
Australia,Tamawood Limited -TWD.AX
India,TV18 Broadcast Limited -TV18BRDCST.NS
India,Trigyn Technologies Limited -TRIGYN.NS
USA,"TRHF Company Limited, Inc. -TRHF"
India,Trent Limited -TRENT.NS
Australia,Terrain Minerals Limited -TMX.AX
Australia,Tech Mpire Limited -TMP.AX
Australia,Tigers Realm Coal Limited -TIG.AX
India,"Tide Water Oil Co. (India), Ltd. -TIDEWATER.NS"
India,Tech Mahindra Limited -TECHM.NS
India,Tata Motors Limited -TATAMOTORS.NS
India,Tata Chemicals Limited -TATACHEM.NS
Australia,Tap Oil Limited -TAP.AX
Australia,Sydney Airport Limited -SYD.AX
India,Sun Pharmaceutical Industries Limited -SUNPHARMA.NS
India,Sujana Universal Industries Limited -SUJANAUNI.NS
India,Subros -SUBROS.NS
Australia,Steamships Trading Company Limited -SST.AX
Australia,Sirtex Medical Limited -SRX.AX
India,The South Indian Bank Limited -SOUTHBANK.NS
Australia,Supply Network Limited -SNL.AX
Australia,SMS Management & Technology Limited -SMX.AX
Australia,Summit Resources Limited -SMM.AX
Australia,Silex Systems Limited -SLX.AX
Mexico,Schlumberger Limited -SLBN.MX
Australia,Stokes Limited -SKS.AX
India,SKF India Limited -SKFINDIA.NS
India,Siemens Limited -SIEMENS.NS
Germany,Siemens Aktiengesellschaft -SIEB.DE
USA,Medtronic plc -MDT
USA,Morgan Stanley -MS
USA,Mobileye N.V. -MBLY
USA,Mechel PAO -MTL
USA,Mesabi Trust -MSB
USA,Manchester United plc -MANU
USA,Public Joint-Stock Company Mobile TeleSystems -MBT
USA,"Miller Industries, Inc. -MLR"
USA,"Standard Motor Products, Inc. -SMP"
USA,"Model N, Inc. -MODN"
USA,"Medifast, Inc. -MED"
USA,MSA Safety Incorporated -MSA
USA,"Mueller Industries, Inc. -MLI"
USA,MV Oil Trust -MVO
USA,"Manning & Napier, Inc. -MN"
USA,"Pzena Investment Management, Inc -PZN"
USA,Mesa Royalty Trust -MTR
USA,Marin Software Incorporated -MRIN
USA,"Summit Materials, Inc. -SUM"
USA,"Vestin Realty Mortgage II, Inc. -VRTB"
USA,MusclePharm Corporation -MSLP
USA,"mCig, Inc. -MCIG"
USA,"Vestin Realty Mortgage I, Inc -VRTA"
USA,"Townsquare Media, Inc. -TSQ"
USA,Outfront Media Inc. -OUT
USA,"MEC, Inc. -MYEC"
USA,"The Singing Machine Company, Inc. -SMDM"
USA,Onstream Media Corporation -ONSM
USA,"Non-Invasive Monitoring Systems, Inc. -NIMU"
USA,Mobetize Corp. -MPAY
USA,"Micropac Industries, Inc. -MPAD"
USA,Mikros Systems Corporation -MKRS
USA,"Medifirst Solutions, Inc -MFST"
USA,On The Move Systems Corp. -OMVS
USA,Makism 3D Corp. -MDDD
USA,"MRI Interventions, Inc. -MRIC"
USA,Micromem Technologies Inc. -MMTIF
USA,"MMRGlobal, Inc. -MMRF"
USA,"Medefile International, Inc. -MDFI"
USA,"iTech Medical, Inc. -IMSU"
USA,"Wound Management Technologies, Inc. -WNDM"
USA,Scivanta Medical Corporation -SCVM
USA,ProUroCare Medical Inc. -PUMD
USA,"Metrospaces, Inc. -MSPC"
USA,Sierra Monitor Corporation -SRMC
USA,Searchlight Minerals Corp. -SRCH
USA,"Original Sixteen to One Mine, Inc. -OSTO"
USA,"Medizone International, Inc. -MZEI"
USA,"Mobiquity Technologies, Inc. -MOBQ"
USA,"Maxwell Resources, Inc. -MAXE"
USA,"Plures Technologies, Inc. -MANY"
USA,Magna-Lab Inc. -MAGAA
USA,Mass Megawatts Wind Power Inc. -MMMW
USA,"U.S. Precious Metals, Inc. -USPR"
USA,"Targeted Medical Pharma, Inc. -TRGM"
USA,Shoshone Silver/Gold Mining Company -SHSH
USA,"Multi Solutions II, Inc. -MUSS"
USA,Masterbeat Corporation -MSTO
USA,"MedPro Safety Products, Inc. -MPSP"
USA,"MobileSmith, Inc. -MOST"
Mexico,3M Company -MMM.MX
USA,"Moller International, Inc. -MLER"
USA,MarilynJean Interactive Inc. -MJMI
USA,"Mace Security International, Inc. -MACE"
USA,Cell MedX Corp. -CMXC
Australia,Rand Mining Limited -RND.AX
USA,"Propel Media, Inc. -PROM"
Australia,Oncosil Medical Limited -OSL.AX
USA,"Organic Sales and Marketing, Inc. -OGSM"
USA,"Myrexis, Inc. -MYRX"
USA,"Metalink, Ltd. -MTLK"
Australia,Multistack International Limited -MSI.AX
Australia,Mesoblast Limited -MSB.AX
USA,"MPM Technologies, Inc. -MPML"
Australia,Millennium Minerals Limited -MOY.AX
USA,Mills Music Trust -MMTRS
Australia,MMJ Phytotech Limited -MMJ.AX
Australia,Metals X Limited -MLX.AX
Australia,Milton Corporation Limited -MLT.AX
Australia,Melbourne IT Limited -MLB.AX
India,Mindtree Limited -MINDTREE.NS
India,Megasoft Limited -MEGASOFT.NS
Australia,Middle Island Resources Limited -MDI.AX
USA,"MB Bancorp, Inc. -MBCQ"
India,Magnum Ventures Limited -MAGNUM.NS
USA,"Lake Victoria Mining Company, Inc. -LVCA"
Australia,Legend Mining Limited -LEG.AX
USA,Unilever N.V. -UN
USA,STMicroelectronics N.V. -STM
USA,Smith & Nephew plc -SNN
USA,"Insperity, Inc. -NSP"
USA,Natuzzi S.p.A. -NTZ
USA,"New York REIT, Inc. -NYRT"
USA,N-Viro International Corporation -NVIC
USA,Nanophase Technologies Corporation -NANX
USA,Invitae Corporation -NVTA
USA,"New Ulm Telecom, Inc. -NULM"
USA,Nam Tai Property Inc. -NTP
USA,"Nightculture, Inc. -NGHT"
USA,Telecom Italia S.p.A. -TI-A
USA,Neutra Corp. -NTRR
USA,Nouveau Ventures Inc. -SAAX
USA,"Noble Roman's, Inc. -NROM"
USA,Nutra Pharma Corp. -NPHC
USA,"New Relic, Inc. -NEWR"
USA,"Nephros, Inc. -NEPH"
USA,IGEN Networks Corp. -IGEN
USA,Idaho North Resources Corporation -IDAH
USA,"The Pulse Network, Inc. -TPNI"
USA,"Uplift Nutrition, Inc. -UPNT"
Germany,QIAGEN N.V. -QIA.DE
USA,"NuGene International, Inc. -NUGN"
Mexico,"Netflix, Inc. -NFLX.MX"
Germany,"Netflix, Inc. -NFC.DE"
USA,Canandaigua National Corporation -CNND
USA,Butler National Corporation -BUKS
Australia,Sandfire Resources NL -SFR.AX
India,Sri Adhikari Brothers Television Network Limited -SABTN.NS
USA,"Lightyear Network Solutions, Inc. -LYNS"
Australia,Pacific Star Network Limited -PNW.AX
India,Pritish Nandy Communications Ltd -PNC.NS
Australia,NEXTDC Limited -NXT.AX
Australia,News Corporation -NWS.AX
India,NTPC Limited -NTPC.NS
Australia,Northern Star Resources Limited -NST.AX
USA,North Springs Resources Corp -NSRS
Australia,Novogen Limited -NRT.AX
Germany,Novartis AG -NOTA.DE
Germany,Novartis AG -NOT.DE
USA,"Nhale, Inc. -NHLE"
Australia,99 Wuxian Limited -NNW.AX
Australia,Neometals Ltd -NMT.AX
Germany,"NIKE, Inc. -NKE.DE"
Germany,Nestlé S.A. -NESR.DE
India,NCL Industries Limited -NCLIND.NS
Australia,Netccentric Limited -NCL.AX
India,NBCC (India) Limited -NBCC.NS
USA,"NanoVibronix, Inc. -NAOV"
USA,"Intellect Neurosciences, Inc. -ILNS"
Australia,Lake Resources N.L. -LKE.AX
Australia,Argonaut Resources NL -ARE.AX
Germany,ad pepper media International N.V. -APM.DE
USA,"American Nano Silicon Technology, Inc. -ANNO"
Australia,Admiralty Resources NL -ADY.AX
India,The United Nilgiri Tea Estates Company Limited -UNITEDTEA.NS
Mexico,TE Connectivity Ltd. -TELN.MX
Germany,SCHMOLZ + BICKENB.AG -SSN.BE
USA,"Solera National Bancorp, Inc. -SLRK"
Mexico,Companhia Siderúrgica Nacional -SIDN.MX
Germany,"NUANCE COMMUNIC. DL-,001 -SC2.BE"
Australia,RNY Property Trust -RNY.AX
Australia,Rimfire Pacific Mining NL -RIM.AX
Mexico,Transocean Ltd. -RIGN.MX
India,Shree Rama Newsprint Limited -RAMANEWS.NS
Germany,"QIAGEN NV EO -,01 -QIA.HA"
Australia,Parkway Minerals NL -PWN.AX
Germany,"MARINE HARVEST ASA NK 7,5 -PND.BE"
Germany,"KONINKL. PHILIPS EO -,20 -PHI1.HA"
Germany,Opera Software ASA -OS3.DE
Germany,Orkla ASA -OKL.DE
Germany,OC Oerlikon Corporation AG -OBH.DE
Germany,OC OERLIKON CORP.AG SF 1 -OBH.BE
USA,Oak View National Bank -OAKV
USA,"NRG Yield, Inc. -NYLD-A"
Australia,Newzulu Limited -NWZ.AX
Germany,WELLS FARGO & CO. Registered Sh -NWT.SG
Australia,News Corporation -NWSLV.AX
Australia,Newfield Resources Limited -NWF.AX
Mexico,Novartis AG -NVSN.MX
Australia,National Veterinary Care Limited -NVL.AX
Mexico,NVIDIA Corporation -NVDA.MX
Germany,"NVIDIA CORP. DL-,001 -NVD.DU"
USA,"Nu-Med Plus, Inc. -NUMD"
USA,Nutrastar International Inc. -NUIN
Australia,Nufarm Limited -NUF.AX
Australia,Northern Minerals Limited -NTU.AX
Germany,NORTHROP GRUMMAN CORP. Register -NTH.SG
Germany,NORTHROP GRUMMAN DL 1 -NTH.DU
Australia,National Storage REIT -NSR.AX
Australia,New Standard Energy Limited -NSE.AX
Germany,Novo Nordisk A/S -NOVA.DE
Mexico,Nokia Corporation -NOKN.MX
USA,"Nemus Bioscience, Inc. -NMUS"
Germany,"NEWMONT MNG CORP. DL 1,60 -NMM.BE"
Australia,Northern Mining Limited -NMI.AX
India,NMDC Limited -NMDC.NS
Mexico,"NIKE, Inc. -NKE.MX"
India,NIIT Limited -NIITLTD.NS
India,NHPC Limited -NHPC.NS
Australia,New Hope Corporation Limited -NHC.AX
Germany,Anglo American plc -NGLB.DE
Germany,"ANGLO AMERICAN DL-,54945 -NGLB.BE"
Australia,NGE Capital Limited -NGE.AX
Germany,Netflix Inc. Registered Shares -NFC.SG
Australia,Neuren Pharmaceuticals Limited -NEU.AX
Germany,"NESTLE NAM. SF-,10 -NESR.BE"
Germany,NESTLE S.A. Nam-Akt. (Spons.ADR -NESM.SG
Germany,NESTLE NAM. ADR/1 SF 1 -NESM.DU
Germany,Nestlé S.A. -NESM.DE
India,Nelco Limited -NELCO.NS
India,Nelcast Limited -NELCAST.NS
India,North Eastern Carrying Corporation Limited -NECCLTD.NS
USA,Orange S.A. -ORAN
USA,Vista Outdoor Inc. -VSTO
USA,"Piedmont Office Realty Trust, Inc. -PDM"
USA,"Cable ONE, Inc. -CABO"
USA,Orbit International Corp. -ORBT
USA,"OmniComm Systems, Inc. -OMCM"
USA,"Ooma, Inc. -OOMA"
USA,"OncoVista Innovative Therapies, Inc. -OVIT"
USA,"Inrad Optics, Inc. -INRD"
USA,Orbital Tracking Corp. -TRKK
USA,"OxySure Therapeutics, Inc. -OXYS"
USA,"Opiant Pharmaceuticals, Inc. -OPNT"
USA,Optionable Inc. -OPBL
USA,Orgenesis Inc. -ORGS
USA,OphthaliX Inc. -OPLI
USA,OurPet's Company -OPCO
USA,"Contango Ore, Inc. -CTGO"
USA,Petro River Oil Corp. -PTRC
USA,ORBIT/FR Inc. -ORFR
USA,"Omagine, Inc. -OMAG"
USA,Oi S.A. -OIBR-C
USA,"Quaint Oak Bancorp, Inc. -QNTO"
Mexico,Potash Corporation of Saskatchewan Inc. -POTN.MX
USA,"Oranco, Inc. -ORNC"
Australia,Orocobre Limited -ORE.AX
Mexico,Oracle Corporation -ORCL.MX
Australia,Orthocell Limited -OCC.AX
Germany,Petro Welt Technologies AG -O2C.DE
Australia,Longreach Oil Limited -LGO.AX
India,Container Corporation of India Limited -CONCOR.NS
USA,Bank Of Botetourt -BORT
Australia,Bank of Queensland Limited -BOQ.AX
USA,AF Ocean Investment Management Company -AFAN
Australia,US Masters Residential Property Fund -URF.AX
India,Union Bank of India -UNIONBANK.NS
USA,"Grasshopper Staffing, Inc. -TCKF"
Australia,Samson Oil & Gas Limited -SSN.AX
USA,"Precision Optics Corporation, Inc. -PEYE"
Australia,Oro Verde Limited -OVL.AX
Australia,OneVue Holdings Limited -OVH.AX
Germany,Outokumpu Oyj -OUTA.DE
India,The Oudh Sugar Mills Limited -OUDHSUG.NS
Australia,Over the Wire Holdings Limited -OTW.AX
Australia,Oriental Technologies Investment Limited -OTI.AX
Australia,OrotonGroup Limited -ORL.AX
Germany,"ORACLE CORP. DL-,01 -ORC.DU"
India,Orbit Corporation Limited -ORBITCORP.NS
Australia,OPUS Group Limited -OPG.AX
Australia,oOh!media Limited -OML.AX
India,Omaxe Limited -OMAXE.NS
India,Omax Autos Limited -OMAXAUTO.NS
USA,"The OLB Group, Inc. -OLBG"
India,Oil India Limited -OIL.NS
Australia,Optiscan Imaging Limited -OIL.AX
Australia,OceanaGold Corporation -OGC.AX
Australia,Oilex Ltd -OEX.AX
Australia,Orbital Corporation Limited -OEC.AX
Germany,"ACS,ACT.CO.SER.INH.EO-,50 -OCI1.DU"
India,Oberoi Realty Limited -OBEROIRLTY.NS
Australia,Oakdale Resources Limited -OAR.AX
Germany,CPI Property Group S.A. -O5G.DE
Germany,Petro Welt Technologies AG Inha -O2C.SG
Australia,NAOS Absolute Opportunities Company Limited -NAC.AX
Australia,MMA Offshore Limited -MRM.AX
USA,"Mojo Organics, Inc -MOJO"
Australia,Pancontinental Oil & Gas NL -PCL.AX
India,Multi Commodity Exchange of India Limited -MCX.NS
Australia,Legacy Iron Ore Limited -LCY.AX
India,La Opala RG Limited -LAOPALA.NS
Australia,Investa Office Fund -IOF.AX
Australia,Horizon Oil Limited -HZN.AX
USA,"First Bancorp of Indiana, Inc. -FBPI"
Australia,Energy Resources of Australia Ltd -ERA.AX
Australia,Empire Oil & Gas NL -EGO.AX
USA,"Citizens Bancorp of Virginia, Inc. -CZBT"
Mexico,"Organización Cultiba, S.A.B. de C.V. -CULTIBAB.MX"
USA,"Credit One Financial, Inc. -COFI"
USA,"Sports Venues of Florida, Inc. -BTHR"
India,Bank of India Limited -BANKINDIA.NS
India,Bang Overseas Limited -BANG.NS
Mexico,Bank of America Corporation -BAC.MX
Germany,SRV Group Plc -B7J.DE
USA,Axiom Oil and Gas Corp. -AXIO
Germany,alstria office REIT-AG -AOX.DE
Australia,American Patriot Oil & Gas Limited -AOW.AX
Australia,AusTex Oil Limited -AOK.AX
Germany,ADVA Optical Networking SE Inha -ADV.SG
Germany,ADVA Optical Networking SE -ADV.DE
Australia,Abilene Oil and Gas Limited -ABL.AX
India,Aban Offshore Limited -ABAN.NS
Australia,Oneall International Limited -1AL.AX
India,Onward Technologies Limited -ONWARDTEC.NS
Germany,"ORACLE CORP. DL-,01 -ORC.BE"
Germany,ÖKOWORLD AG -VVV3.DE
India,Transport Corporation of India Limited -TCI.NS
Australia,Incremental Oil and Gas Limited -IOG.AX
Germany,XING AG NA O.N. -O1BC.BE
India,Orient Bell Limited -ORIENTBELL.NS
Mexico,"Grupo Hotelero Santa Fe, S.A.B. de C.V. -HOTEL.MX"
Australia,Overland Resources Limited -OVR.AX
Mexico,L'Oréal S.A. -ORN.MX
Germany,"BANK OF NOVA SCOTIA, THE Regist -BKN.SG"
Germany,"OCCIDENTAL PET. DL-,20 -OPC.BE"
Mexico,"Promotora y Operadora de Infraestructura, S. A. B. de C. V. -PINFRAL.MX"
Mexico,"OHL México, S.A.B. de C.V. -OHLMEX.MX"
India,SVOGL Oil Gas and Energy Limited -SVOGL.NS
USA,Phillips 66 -PSX
USA,Rio Tinto plc -RIO
USA,Public Storage -PSA
USA,Unilever PLC -UL
USA,Pentair plc -PNR
USA,SandRidge Permian Trust -PER
USA,Pearson plc -PSO
USA,Prudential plc -PUK
USA,Steris Plc -STE
USA,POSCO -PKX
USA,Ultrapar Participações S.A. -UGP
USA,"Parkway, Inc. -PKY"
USA,"Power Solutions International, Inc. -PSIX"
USA,"UMH Properties, Inc. -UMH"
USA,Ramco-Gershenson Properties Trust -RPT
USA,Pretium Resources Inc. -PVG
USA,"PhotoMedex, Inc. -PHMD"
USA,"PGT Innovations, Inc. -PGTI"
USA,TIM Participações S.A. -TSU
USA,Point.360 -PTSX
USA,"Columbia Property Trust, Inc. -CXP"
USA,"China Precision Steel, Inc. -CPSL"
USA,"Sky Petroleum, Inc. -SKPI"
USA,"Progressive Care, Inc. -RXMD"
USA,"Puissant Industries, Inc. -PSSS"
USA,"Protalex, Inc. -PRTX"
USA,"Puget Technologies,Inc -PUGE"
USA,"Pharma-Bio Serv, Inc. -PBSV"
USA,"Paymeon, Inc. -PAYM"
USA,Parabel Inc -PABL
USA,Powin Energy Corporation -PWON
USA,"Pacific WebWorks, Inc. -PWEB"
USA,"Proteo, Inc. -PTEO"
USA,Proxim Wireless Corporation -PRXM
USA,"Paradise, Inc. -PARF"
USA,"PowerVerde, Inc. -PWVI"
USA,Positron Corporation -POSC
USA,Prestige Capital Corporation -PGEC
USA,"PAID, Inc. -PAYD"
USA,"Poniard Pharmaceuticals, Inc. -PARD"
USA,"Insynergy Products, Inc. -ISYG"
USA,"PMX Communities, Inc. -PMXO"
USA,Ironclad Performance Wear Corporation -ICPW
USA,IC Potash Corp. -ICPTF
USA,"Cocrystal Pharma, Inc. -COCP"
USA,The Reserve Petroleum Company -RSRV
USA,Procyon Corporation -PCYN
Germany,BP p.l.c. -BSU.DE
Australia,Universal Coal plc -UNV.AX
USA,"QEP Resources, Inc. -QEP"
USA,QKL Stores Inc. -QKLS
USA,"QuoteMedia, Inc. -QMCI"
USA,Quadrant 4 System Corporation -QFOR
Germany,SOC. QUIMICA MIN.ADR B 1 -QYM.BE
India,Quintegra Solutions Limited -QUINTEGRA.NS
USA,QNB Corp. -QNBC
USA,Quick-Med Technologies Inc. -QMDT
Australia,QV Equities Limited -QVE.AX
Australia,Quantum Resources Limited -QUR.AX
Australia,Quest Investments Limited -QST.AX
Australia,Questus Limited -QSS.AX
Mexico,Restaurant Brands International Inc. -QSRN.MX
Australia,QMS Media Limited -QMS.AX
USA,"Virtual Medical International, Inc. -QEBR"
Germany,"QUALCOMM INC. DL-,0001 -QCI.DU"
Australia,Qantas Airways Limited -QAN.AX
Australia,Alice Queen Limited -AQX.AX
Germany,"STRAUMANN HLDG NA SF 0,10 -QS5.BE"
Australia,Queensland Bauxite Limited -QBL.AX
USA,Quarry City Savings & Loan Association -QRRY
Mexico,QUALCOMM Incorporated -QCOM.MX
Germany,"QIAGEN NV EO -,01 -QIA.DU"
Germany,Qiagen N.V. Aandelen op naam EO -QIA.SG
Germany,QUIRIN PRIVATBK O.N. -QB7.BE
