Country,object
USA,"Acura Pharmaceuticals, Inc. -ACUR"
USA,"Retail Properties of America, Inc. -RPAI"
USA,Antero Midstream Partners LP -AM
USA,"Autoliv, Inc. -ALV"
USA,Acadia Realty Trust -AKR
Germany,Adidas AG -ADS.DE
USA,"Sonic Automotive, Inc. -SAH"
USA,Associated Banc-Corp -ASB
USA,"Extended Stay America, Inc. -STAY"
USA,China Eastern Airlines Corporation Limited -CEA
USA,"ARC Document Solutions, Inc. -ARC"
USA,Ally Financial Inc. -ALLY
USA,"Acorn Energy, Inc. -ACFN"
USA,"Arbor Realty Trust, Inc. -ABR"
USA,"AG Mortgage Investment Trust, Inc. -MITT"
USA,"Hannon Armstrong Sustainable Infrastructure Capital, Inc. -HASI"
USA,GOL Linhas AÃ©reas Inteligentes S.A. -GOL
USA,Gildan Activewear Inc. -GIL
USA,Atento S.A. -ATTO
USA,"Grupo Aeroportuario del Sureste, S. A. B. de C. V. -ASR"
USA,"American Assets Trust, Inc. -AAT"
USA,"Acorn International, Inc. -ATV"
USA,"American Financial Group, Inc. -AFG"
USA,"Wesco Aircraft Holdings, Inc. -WAIR"
USA,Allegion plc -ALLE
USA,"Aerojet Rocketdyne Holdings, Inc. -AJRD"
USA,"Armada Hoffler Properties, Inc. -AHH"
USA,Telecom Argentina S.A. -TEO
USA,North American Energy Partners Inc. -NOA
USA,"China Green Agriculture, Inc. -CGA"
USA,"A10 Networks, Inc. -ATEN"
USA,"American Campus Communities, Inc. -ACC"
USA,"Grupo Aeroportuario del Pacífico, S.A.B. de C.V. -PAC"
USA,Navios Maritime Acquisition Corporation -NNA
USA,"Axion Power International, Inc. -AXPW"
USA,AVX Corporation -AVX
USA,Aristocrat Group Corp. -ASCC
USA,"Ares Management, L.P. -ARES"
USA,"Ameresco, Inc. -AMRC"
USA,"AAC Holdings, Inc. -AAC"
USA,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V. -VLRS"
USA,"EVERTEC, Inc. -EVTC"
Germany,Bayer Aktiengesellschaft -BAYN.DE
USA,"Amber Road, Inc. -AMBR"
